author	count	latest_chapters	name	status	type_	update_time
飞天鱼	1359万字	第四千零九十八章 奇域	万古神帝	连载	[玄幻奇幻]	2023-09-23 03:27
卖报小郎君	406万字	《大奉打更人之诸天万界》数字藏品预约开始啦！	大奉打更人	完结	[武侠仙侠]	2023-08-04 17:10
远瞳	645万字	第1595章 番外-片段-尘埃落定之后	黎明之剑	连载	[科幻未来]	2023-08-04 16:56
我吃西红柿	198万字	番茄新书《宇宙职业选手》已经正式发布！	沧元图	完结	[玄幻奇幻]	2023-08-04 17:05
鱼人二代	2295万字	第11258章	校花的贴身高手	连载	[都市生活]	2023-11-24 21:16
烟火成城	654万字	第2215章 因果（为九指猫咪更！）	诸界末日在线	连载	[科幻未来]	2023-08-04 16:56
庸懒的小偷	84万字	第416章 登基大典(大结局)	率土之滨	连载	[历史军事]	2020-02-24 12:10
那一只蚊子	1299万字	情况与抱歉	轮回乐园	连载	[其他类型]	2023-09-16 22:53
无色界定	25万字	第096章　大结局	傲娇校花爱上我	完结	[都市生活]	2018-07-31 00:00
晨星LL	566万字	第871章 明枪易躲，暗箭难防	这游戏也太真实了	连载	[其他类型]	2023-09-14 00:20
老鹰吃小鸡	868万字	新书《星门》发布！	万族之劫	完结	[都市生活]	2023-08-04 17:09
会说话的肘子	334万字	999、后记（一）	夜的命名术	完结	[都市生活]	2023-08-29 23:25
吱吱	248万字	第756章 开新文啦！	庶女攻略	完结	[现代言情]	2023-08-04 16:47
夏竖琴	419万字	第1915章 大结局	从斗罗开始打卡	完结	[其他类型]	2023-08-04 16:38
飞星骑士	536万字	张学良、北华、北华军	我的东北军2之龙战于野	完结	[历史军事]	2017-04-05 16:07
志鸟村	360万字	番外：开学季	大医凌然	完结	[都市生活]	2023-08-04 16:56
爱潜水的乌贼	443万字	第1418章 番外（十一） 往事	一世之尊	完结	[玄幻奇幻]	2022-05-20 19:47
关关公子	245万字	第903章 新书《太莽》已经上传～	世子很凶	完结	[历史军事]	2023-08-04 16:41
圣骑士的传说	875万字	番外：愿世上再无读心术	修真聊天群	完结	[都市生活]	2023-08-04 16:52
宅猪	590万字	宅猪新书，《临渊行》已经上传	牧神记	完结	[玄幻奇幻]	2023-08-04 16:56
愤怒的香蕉	593万字	第一一八八章 惑（下）	赘婿小说	连载	[历史军事]	2023-09-15 15:37
我吃西红柿	485万字	第1526章 番茄新书《宇宙职业选手》已经正式发布！	吞噬星空	完结	[科幻未来]	2023-08-04 01:05
稚楚	62万字	番外二十一：ABO（二）【全文完】	我只喜欢你的人设[娱乐圈]	完结	[幻想奇缘]	2020-03-23 12:28
黑色小草	316万字	第1321章大意	火影之六神通	完结	[其他类型]	2021-06-03 16:16
忘语	445万字	新书《大梦主》上架感言	凡人修仙之仙界篇	完结	[武侠仙侠]	2023-08-04 16:56
狐尾的笔	222万字	有声书来了	道诡异仙	连载	[玄幻奇幻]	2023-10-20 13:43
无唯	445万字	256就叫水晶宫（完）	火影之神之轮回	完结	[其他类型]	2020-09-26 18:13
PEPA	16万字	~***	我嗑了对家X我的CP	完结	[幻想奇缘]	2019-11-19 17:34
瓦斯	36万字	第两千二百六十一章 丢失的三魂一魄！（求订阅）	灵气复苏：我的武功能合成	连载	[玄幻奇幻]	2021-08-15 18:47
世味煮茶	41万字	番外之煤球与管情	铜雀锁金钗	完结	[现代言情]	2018-12-25 10:17
困倚危楼	13万字	番外  比武	折枝	完结	[其他类型]	2019-06-22 22:11
纪婴	78万字	全文完	不断作死后我成了白月光	完结	[游戏情缘]	2020-11-23 06:22
元首大人	186万字	第一千二百八十八章 一种夜间会发光的夜菌	我！星河帝国元首	连载	[科幻未来]	2020-08-12 22:46
惰堕	227万字	剑卒过河8月1号正式上架哦！	剑徒之路	完结	[武侠仙侠]	2023-08-04 16:55
任我笑	246万字	另一位韩绝？	顶级气运，悄悄修炼千年	完结	[武侠仙侠]	2023-08-28 23:58
奇犽	299万字	第1027章  尾声	狗带吧青春	连载	[都市生活]	2019-09-25 22:10
xclxx	263万字	第一千三百章世界和平	海贼王之正义	完结	[其他类型]	2018-12-25 11:30
壶鱼辣椒	143万字	番外·尾声（317）	我在惊悚游戏里封神（无限）	连载	[幻想奇缘]	2022-03-18 18:52
吴杰超	818万字	完本感言	无限先知	完结	[玄幻奇幻]	2023-08-04 16:56
耳根	387万字	大家想我了吗哈哈哈哈	三寸人间	完结	[武侠仙侠]	2023-08-04 16:56
葵十月	25万字	第六十二章	黄烟	完结	[幻想奇缘]	2020-08-18 16:53
孑与2	447万字	第1603章 新书预告，《银狐》登陆	唐砖	完结	[历史军事]	2023-08-04 01:06
笔龙胆	755万字	第2349章不忘初心（大结局）	我和美艳女上司	完结	[都市生活]	2020-09-16 11:14
泡泡泡	29万字	【1596】被盯上的苏媛媛！	都市:开局快递奖励10个亿！	连载	[都市生活]	2021-12-20 06:00
绯红之夜	42万字	第两千七百三十六章 降临	从大树开始的进化	连载	[都市生活]	2021-12-19 02:33
白芥子	43万字	番外二 宵宴（下）	温香艳玉	完结	[现代言情]	2020-05-14 10:33
最白的乌鸦	164万字	新书《谁让他修仙的！》已发	大乘期才有逆袭系统	完结	[武侠仙侠]	2023-08-28 23:58
老妖	327万字	第1449章前世今生（大结局）	二次元的写轮眼	完结	[其他类型]	2018-12-25 13:54
银河九天	397万字	完本感言	首席御医	完结	[都市生活]	2014-07-21 22:39
吃奶的小猪	160万字	第587章 大结局	诸天最强万道钓皇	连载	[玄幻奇幻]	2020-12-21 13:31
风行云亦行	265万字	完本感言＋推新书	斗罗之皇龙惊世	连载	[其他类型]	2021-03-05 00:56
无敌小贝	1391万字	第6241章 始域轰动	武破九荒	连载	[玄幻奇幻]	2023-08-04 16:48
不会写就乱写	168万字	第839章 真的完结了	沐云初方天成	完结	[现代言情]	2022-04-10 11:47
迪巴拉爵士	627万字	新书：《大唐扫把星》已经发布了	北宋大丈夫	完结	[历史军事]	2023-08-04 17:00
百里龙虾	787万字	第三千五百零一章 出动十大族老！	绝代神主	连载	[玄幻奇幻]	2023-09-06 08:04
刮风了	41万字	第330章：没有灵魂的玩偶！	火影：我有一个签到空间	连载	[其他类型]	2021-12-20 10:00
大唐超神洪荒海贼特种兵	37万字	第两千一百一十一章：北外滩江景房别墅众人，你们怂就怂，真的没有必要继续硬装！第	都市神豪之肆意人生	连载	[都市生活]	2022-01-25 23:47
天命反派	22万字	969 天意一刀斩去“伐天”？明秀和褚炼	玄幻：我！天命大反派	连载	[玄幻奇幻]	2021-12-20 16:58
公子笑歌	409万字	第3232章 空间法则	我每天随机一个新系统	连载	[都市生活]	2023-09-14 00:53
北南	46万字	终章	跨界演员	连载	[幻想奇缘]	2020-04-24 12:12
孑与2	299万字	《明天下》写完了，请期待《我不是野人》	明天下	完结	[历史军事]	2023-08-04 17:06
昀瞳	610万字	第两千九百二十五章 邀请	摊牌了我真是封号斗罗	连载	[其他类型]	2023-09-06 23:57
卡比丘	7万字	番外：考前习题	择木而栖	完结	[浪漫青春]	2019-11-19 16:30
愤怒的香蕉	593万字	第一一八八章 惑（下）	赘婿	连载	[历史军事]	2023-09-15 15:37
何夏	18万字	一个作者后记	拍摄指导	完结	[幻想奇缘]	2019-11-19 17:33
李道然	1038万字	最大的墟	史上最强炼气期	连载	[玄幻奇幻]	2023-09-23 21:25
忘语	739万字	第2562章 忘语新书《玄界之门》	凡人修仙传	完结	[武侠仙侠]	2023-08-04 16:46
D猫	375万字	第二千九百八十章 终战（大结局）	一键修炼系统瞬间百万级	完结	[玄幻奇幻]	2021-04-14 11:10
爱潜水的乌贼	447万字	第1415章 新书已发	诡秘之主	完结	[玄幻奇幻]	2023-08-04 16:19
粥二	130万字	第557章 大梦一场？	斗罗之封号剑仙	完结	[其他类型]	2022-05-20 21:15
桃千岁	31万字	育儿手记	秋以为期	完结	[幻想奇缘]	2019-12-30 15:10
花幽山月	1076万字	第4982章 天生克星	神级龙卫	连载	[都市生活]	2022-04-17 12:50
引路星	35万字	番外	我喜欢你的信息素	完结	[幻想奇缘]	2019-09-27 14:40
凶萌诸葛	27万字	第一千零七十九章 法不责众？	我的爱情公寓女友一菲	连载	[其他类型]	2021-12-20 11:59
黑血粉	142万字	第625章 作者新书，欢迎捧场！	斗罗之我的武魂是魂环	完结	[其他类型]	2022-05-20 21:05
金元宝本尊	1192万字	第4648章 重要提示 新书斩龙已上传 新书斩龙已上传	捡漏	完结	[都市生活]	2022-11-11 16:10
巫哲	88万字	番外5 跟着光	撒野	完结	[幻想奇缘]	2020-03-04 18:23
苏少卿	18万字	599：团灭！	轮回空间：欺诈万界	连载	[都市生活]	2021-12-20 05:31
两边之和	123万字	推荐和和的新书公子九	嫡女归	完结	[现代言情]	2017-04-27 09:45
priest	30万字	番外 后来	七爷	完结	[游戏情缘]	2019-01-02 12:56
柠檬ice	216万字	第968章 章 灭天终结	从斗罗开始签到女神	完结	[其他类型]	2022-05-20 21:34
首初	34万字	纳维军区毛毡大赛	没钱离婚	完结	[科幻灵异]	2019-11-19 17:00
尼古拉斯糖葫芦	34万字	第 74 章	你看起来很好亲	连载	[幻想奇缘]	2021-07-23 02:54
巨星之王	40万字	第2502章 实力并存	娱乐：从歌手到天王巨星	连载	[都市生活]	2021-08-15 18:45
黑糖话梅	62万字	番外九	嫁给残疾大将军后	完结	[游戏情缘]	2020-09-30 03:10
鹅是老五	408万字	第一三七二章 道，到底是什么？	弃宇宙	完结	[武侠仙侠]	2023-09-14 02:11
头顶一只喵喵	342万字	单篇感谢两位新盟主	大秦：不装了，你爹我是秦始皇	完结	[历史军事]	2023-08-28 23:58
夜南听风	215万字	写在结束之后	从火影开始掌控时间	完结	[其他类型]	2023-09-16 18:38
紫梦幽龙	872万字	完结感言	茅山鬼王	完结	[恐怖悬疑]	2023-09-03 23:22
岭上开花	414万字	第2167章 美味的有毒料理	海贼之无限翅膀	连载	[其他类型]	2022-05-23 02:28
义阳生	107万字	完本，新书《我的无限职业》发布	从洪荒穿越万界	连载	[武侠仙侠]	2020-11-04 12:52
莫默	1870万字	第6064章 后记加新书	武炼巅峰	完结	[玄幻奇幻]	2023-08-04 16:47
斜风X细雨	12万字	第1209章:讲解（求支持求订阅)	假面骑士:神级选择系统	连载	[其他类型]	2021-08-15 18:47
八千岁	114万字	不定时番外篇·二七	魔女霓裳（gl）	连载	[游戏情缘]	2019-03-12 02:23
名窑	381万字	新书上架求支持	我的1978小农庄	完结	[都市生活]	2023-09-14 01:59
天蚕土豆	530万字	第1663章 《斗破苍穹：斗帝之路》手游·角色传记（下）	斗破苍穹	完结	[玄幻奇幻]	2023-08-04 01:05
皇甫奇	328万字	新书即将发布，求支持！	神座	完结	[玄幻奇幻]	2014-04-03 00:01
彩虹之门	334万字	第1140章 完本感言	重生之超级战舰	完结	[科幻未来]	2021-11-06 20:34
单身咸鱼	46万字	第1914章 不要误会，我是针对你们全场！【求自订】	海贼：在红发船上当实习生	连载	[其他类型]	2021-12-20 08:14
千桦尽落	325万字	第1597章 大结局（三）	嫡长女她又美又飒	完结	[现代言情]	2023-08-04 16:43
叶公子	369万字	第1642章 给他来个下马威！	叶辰萧初然大结局	连载	[都市生活]	2021-08-15 18:50
偏方方	358万字	第1009章 元帅，好久不见（教父番完）	首辅娇娘	完结	[现代言情]	2023-08-04 17:09
治病神仙水	49万字	番外·后来的故事（四）	可怜为师死得早	完结	[游戏情缘]	2019-09-04 17:55
闲者模式	91万字	第436章：婚礼（完）	爱情公寓5：开局娶诸葛大力	连载	[其他类型]	2021-01-15 03:02
肥胖的橘猫	34万字	第二百二十七章 燃烧本源	盗墓：开局获得两大传承	连载	[恐怖悬疑]	2021-01-29 15:53
骑着驴漂移	34万字	第1845章 仇人见面分外眼红	开局一辆超跑	连载	[都市生活]	2021-08-15 18:45
漫漫何其多	31万字	终章	影帝	完结	[幻想奇缘]	2019-01-02 13:02
时崎狂三	49万字	第2914章 无法改变	不死者之王	连载	[其他类型]	2021-08-15 18:42
叶千秋	19万字	第六百八十八章 极阳者	妖魔复苏：开局觉醒山海经	连载	[恐怖悬疑]	2021-08-15 18:47
苏小暖	461万字	第4257章 大结局终章	神医凰后	完结	[现代言情]	2023-08-04 16:56
白刃斩春风	365万字	1187、杀虎	我的诡异人生	连载	[其他类型]	2023-11-13 19:42
鱼和漂流瓶	465万字	第2415章 得知情报！	神奇宝贝：觉醒之刻	连载	[其他类型]	2022-11-14 05:39
城主养龙当学霸	18万字	第七百九十四章 合作愉快	我能看到成功率	连载	[都市生活]	2021-08-15 18:50
伊人泪下	37万字	第2136章 遇见熟人	向往：神级选择	连载	[都市生活]	2021-12-19 03:19
耳雅	68万字	380 井	龙图案卷集·续	连载	[现代言情]	2022-01-01 22:52
evaeva123	349万字	第一千五百九十七章最后的最后	怪盗基德是超级英雄	完结	[其他类型]	2018-12-25 13:14
成小果	21万字	第851章 硬吃	盗墓：我娶了尸族女皇	连载	[其他类型]	2021-08-15 18:45
魔王斗勇者	219万字	第978章 来大阪吃面包（1更）	在柯南里选择当渣男	连载	[其他类型]	2020-08-13 00:28
逆长天	283万字	第1096章 大结局	斗罗之造梗抽奖系统	完结	[其他类型]	2022-05-20 21:21
最爱吃空气	118万字	第430章 作者已经死了，你们喷死的嘛，偶像！	斗罗之魔君	完结	[其他类型]	2021-06-04 16:39
穿黄衣的阿肥	494万字	新书预告Part.2	我的细胞监狱	完结	[科幻未来]	2023-08-04 17:04
爱上手帕纸	316万字	第1551章 大结局心愿大门	火影：我能一键满级	完结	[其他类型]	2021-04-26 13:10
第一绿者	29万字	第一千六百四十八章下次要让你跪着！	我，仙王，加入聊天群	连载	[其他类型]	2021-08-15 18:48
活儿该	196万字	第五十八章 干都卡拉	从姑获鸟开始	连载	[科幻未来]	2023-08-29 11:19
自在核桃	222万字	第810章 期待新书的相遇，感谢大家	娱乐圈的科学家	完结	[都市生活]	2023-08-04 16:38
