author	count	latest_chapters	name	status	type_	update_time
死神钓者	426万字	第1137章 新书《地球上最后一幢楼》发布	全球进入大洪水时代	完结	[科幻未来]	2023-08-04 16:44
国王	303万字	第1357章 恐怖蛟龙	洪荒降临之最强玩家	连载	[玄幻奇幻]	2023-08-04 17:05
丧泽	18万字	第五百三十一章 聘礼？不！是威胁！	我被困在同一天一千年	连载	[都市生活]	2021-12-19 02:55
腾云傲九霄	46万字	第72章 不见棺材不落泪	盗墓：从秦岭神树开始	连载	[恐怖悬疑]	2020-12-28 16:21
永夜司晨	280万字	新书已发	斗罗之诸天抽奖系统	完结	[其他类型]	2021-11-13 08:30
藤萍	53万字	116东海之滨	吉祥纹莲花楼	完结	[恐怖悬疑]	2018-12-19 09:56
周流星位	137万字	第441章 还是你出来见我吧！	我修炼开了外挂	连载	[武侠仙侠]	2023-08-04 16:41
岁暮	22万字	第五十四章 七十二变	火影：我能进化通灵兽	连载	[其他类型]	2021-12-20 11:11
暧昧	30万字	第1834章 海啸的到来	海贼王之最强幻兽	连载	[其他类型]	2021-08-15 18:42
黑夜的瞳	647万字	第4181章 我，既为仙！	林阳苏颜全文免费阅读	连载	[都市生活]	2022-11-16 23:25
孤云城	128万字	新书《诸天乱入系统》已经发布！	从斗罗开始的诸天生涯	完结	[其他类型]	2020-12-22 17:06
安向暖	118万字	第1090章 全文完	团宠小可爱成了满级大佬	完结	[幻想奇缘]	2021-10-28 18:21
煮夫	277万字	第2562章 世纪婚礼（大结局）	爱情公寓：开局回报诸葛大力	完结	[都市生活]	2021-08-15 18:48
昭灵驷玉	278万字	完本感言	重生之金融巨头	完结	[都市生活]	2023-08-28 23:58
会狼叫的猪	1005万字	完本感言（新书《苟在无尽海域修妖仙》已发布）	垂钓之神	完结	[玄幻奇幻]	2023-08-28 23:58
小王胡公子	97万字	四百三十一章（大结局二）	六零迷彩生活	完结	[幻想奇缘]	2018-07-25 12:16
愤怒的香蕉	593万字	第一一八八章 惑（下）	赘婿小说	连载	[历史军事]	2023-09-15 15:37
唯爱	144万字	第四百四十三章：为了正义	超神：圣天使降临	连载	[其他类型]	2021-08-15 18:46
厌笔萧生	347万字	第1142章 屠灭仙王（4）（大结局）	天牧	连载	[玄幻奇幻]	2019-05-10 23:44
杜了了	611万字	第5814章 番外：重回星际（完）【全文完】	快穿：女配，冷静点	连载	[科幻灵异]	2021-06-04 23:09
七月新番	345万字	新书，来了！	秦吏	完结	[历史军事]	2023-08-04 16:55
小小招财猫a	503万字	第1439章 天毒魔童	仙木奇缘	连载	[武侠仙侠]	2023-11-13 19:58
流萤飘雪	119万字	完本感言	从斗罗开始修仙的奥特曼	连载	[其他类型]	2020-08-12 21:32
青衣醉离尘	320万字	第五百八十四章 肆无忌惮	海贼之掌控万物	完结	[其他类型]	2021-05-21 18:23
风中的阳光	795万字	第2432章 宝贝儿，嫁给我！	我的极品小姨	连载	[都市生活]	2020-09-10 10:58
苍天以老	21万字	第805章 我又不傻	海贼：神级抽奖	连载	[其他类型]	2021-12-20 07:54
小天天天天	34万字	第一千一百三十八章 雾忍异变，建议当场火化	海贼：垂钓就变强	连载	[其他类型]	2021-12-20 05:31
芥末三三	23万字	第六十六章	绝对禁锢	完结	[幻想奇缘]	2019-06-22 20:54
道然居士	179万字	第七百四十六章 护山神兽？	从斗罗开始的浪人	连载	[其他类型]	2023-09-16 18:24
盖世	93万字	第0219章 谁敢动我白胡子的儿子	我在火影开漫画店	完结	[其他类型]	2020-08-18 13:24
西装暴徒	541万字	第2580章 透着蹊跷	赵东苏菲都市潜龙免费阅读	连载	[都市生活]	2022-11-17 00:05
永远是新手	406万字	第1640章 挺好	超神学院之异能者	完结	[科幻未来]	2022-04-10 11:16
曲小蛐	51万字	全文完结	他最野了	完结	[幻想奇缘]	2019-12-05 16:29
臧福生	524万字	第1654章 跟不上，哪就抱歉了	医路坦途	连载	[都市生活]	2023-08-04 17:00
买辣椒打折吗	24万字	第1086章 大蜜蜜的特殊爱好	向往的生活：开局就结婚	连载	[都市生活]	2021-12-19 16:36
言归正传	379万字	仙侠新书《天庭最后一个大佬》已上线！	我师兄实在太稳健了	完结	[武侠仙侠]	2023-08-04 17:06
遥望南山	1285万字	第6230章 母后是谁？	妖龙古帝	连载	[玄幻奇幻]	2023-09-02 21:12
望月存雅	121万字	第1161章 墨川番外（整）	他养的小可爱太甜了	连载	[幻想奇缘]	2020-07-20 11:31
三天两觉	501万字	完本感言	惊悚乐园	完结	[游戏竞技]	2023-08-04 16:48
旷海忘湖	631万字	第2693章 新书《大玄第一拽探》发布	狂探	完结	[都市生活]	2023-08-04 16:12
老龙	47万字	第3871章 发泄情绪	铁血霸主李云龙	连载	[历史军事]	2022-01-25 23:47
叫我茶茶大人	15万字	第125章 新生	重生五零有空间	完结	[科幻灵异]	2020-02-29 18:01
花幽山月	1076万字	第4982章 天生克星	沈浪苏若雪最新更新	连载	[都市生活]	2022-04-17 12:50
耗子爱吃鸡腿	359万字	第一千一百一十二章 安全区的交战	从军火商到战争之王	连载	[其他类型]	2023-09-18 15:05
我想飞天	36万字	第二千二百三十七章我在医院等你	开局四个姐姐帮我签到	连载	[都市生活]	2021-12-20 06:22
道衍天尊	206万字	第1350章 三圣领域 威压全开	洪荒：阐教首徒	连载	[武侠仙侠]	2022-10-03 06:28
叹西茶	23万字	番外六	雪意和五点钟	完结	[幻想奇缘]	2020-10-31 10:02
弱颜	325万字	第1025章 番外八	重生小地主	完结	[现代言情]	2022-05-20 19:47
洛九尢	275万字	新书《灵气复苏：从血月开始》已发	诸天万界聊天群之我是神	完结	[其他类型]	2021-06-16 23:26
狐仙呀	53万字	完本感言	斗罗之神位掌管者	连载	[其他类型]	2020-09-06 12:04
幸运儿	25万字	第1201章 礼	我的细胞变异了	连载	[都市生活]	2021-12-20 12:33
jiayibingding	117万字	第六百三十一章 斩杀驰鹏（完结）	洪荒：截教副教主	连载	[武侠仙侠]	2020-12-30 09:32
双儒风	125万字	新书 影影果实觉醒后的放飞之旅	海贼之心灵果实	完结	[其他类型]	2021-01-12 08:31
养乐多	13万字	第五百六十六章 迷人眼	我只想安静的做个神豪	连载	[都市生活]	2021-12-19 04:37
祈之夏梦	109万字	番外篇：云冰的倒霉日	在斗罗中成神	连载	[其他类型]	2020-06-11 19:47
追求梦想的蛤蟆	178万字	第234章：海贼王完（完结！）	火影之最强系统	完结	[其他类型]	2020-06-23 14:52
91门房秦大爷	254万字	第一千六百九十九章：友情提示，利马还有五分钟抵达战场！（第一更！求订阅！求全订！	都市之好感值系统	连载	[都市生活]	2020-08-12 22:25
我都想要	41万字	第1864章 世界的构成（4/4）	狐妖：角色扮演系统	连载	[其他类型]	2021-08-15 18:47
史铁生	14万字	第33章 扶轮问路（代跋）	我与地坛	完结	[其他类型]	2018-12-11 02:14
Ashitaka	40万字	番外三 点滴	草茉莉	完结	[幻想奇缘]	2019-11-19 17:15
舒虞	39万字	平行番：青梅竹马（二）	退烧	完结	[幻想奇缘]	2020-06-25 20:43
浮白三秋	316万字	全书已完，新书《斗罗之我的老婆是龙王》全书免费，永不上架！	斗罗之终极战神	完结	[其他类型]	2021-02-27 20:43
发达的泪腺	50万字	第三世番外8	长安第一美人	完结	[游戏情缘]	2020-09-19 01:46
吐泡泡的鲤鱼	308万字	第544章 新书已发：全球领主：开局成为沙漠领主	我成了血族始祖	完结	[科幻未来]	2023-08-04 16:40
燚诚之赤龙帝	130万字	完结感言	从斗罗开始的赤龙帝	连载	[其他类型]	2020-07-15 12:01
六盲星	27万字	番外三	我很有钱呀	连载	[幻想奇缘]	2020-03-18 10:06
昊天无极	201万字	第1117章 荣登首富，新的目标【大结局】	神豪从签到十亿开始	完结	[都市生活]	2021-01-29 18:23
流风笑	541万字	第2511章 番外篇：诸天归一界，永恒世界	开局十连抽然后无敌	完结	[玄幻奇幻]	2022-05-20 21:39
风凌天下	826万字	第2632章 新书《左道倾天》已经发布。	傲世九重天	完结	[玄幻奇幻]	2022-05-20 19:47
偷偷写文	40万字	完结十周年庆平行番外	将军令	完结	[游戏情缘]	2020-12-14 10:02
流情似水	330万字	第149章大结局	火影之超级强者	完结	[其他类型]	2018-12-25 16:03
悠悠鱼	26万字	1298.布里斯出现！（求订阅！）	奥特曼之究极黑暗	连载	[其他类型]	2021-08-15 18:50
咸鱼王7j	23万字	第一千零二十八章 平息的鱼人岛	海贼王之暗皇	连载	[其他类型]	2022-01-25 23:47
凤凰涅槃	38万字	第2083章：阵营！	灵气复苏：自动升级	连载	[玄幻奇幻]	2021-12-20 06:08
金十四钗	34万字	番外-半生念想	满城衣冠	完结	[幻想奇缘]	2019-11-19 17:49
青鸾峰上	858万字	第2810章 大结局2	无敌剑域	完结	[玄幻奇幻]	2022-01-25 22:17
萌新白猫	276万字	第1560章 盛大的集体婚礼（大结局）	从全能急诊科医生开始	连载	[都市生活]	2021-05-02 03:05
嗜酒吃茶	5万字	番外三 之后(3)(完)	挟	完结	[幻想奇缘]	2019-06-13 01:08
怪客先生	101万字	0458.巨凶兽陨落！合二为一！（大结局）	漫威：开局就是不死不灭	完结	[其他类型]	2020-12-07 16:44
zhttty	265万字	第803章 无限恐怖下半部第十五集：生化终战（二） 第十七章：原暗对洪荒……终结与开始（二）	无限恐怖	完结	[科幻未来]	2023-08-04 01:05
辰东	630万字	我的新书《深空彼岸》上传了	圣墟	完结	[玄幻奇幻]	2023-08-04 16:52
静水边	4万字	第 24 章	缝纫机之恋	完结	[幻想奇缘]	2019-01-02 12:01
诸葛小小力	36万字	第一千九百四十七章 致命一击	洪荒：开局成为天道	连载	[玄幻奇幻]	2021-12-20 05:56
六道沉沦	736万字	第2439章 新群号	剑道独神	完结	[玄幻奇幻]	2022-01-25 22:08
严雪芥	39万字	从前慢（下）	坠落春夜	完结	[幻想奇缘]	2020-11-23 17:11
不愁香烟	248万字	第1101章 头疼的若林	海贼王之无尽风暴	完结	[其他类型]	2020-08-12 20:39
纳兰闲	198万字	第1910章 打破平衡	当满级大佬翻车以后	连载	[幻想奇缘]	2023-05-19 23:28
周蛋挞	45万字	人间魔	灭了天道后我成了死对头的师妹	完结	[游戏情缘]	2020-08-02 23:31
风流书呆	195万字	十八：现代神棍61	学神在手，天下我有	完结	[游戏情缘]	2021-03-16 15:41
愤怒的香蕉	593万字	第一一八八章 惑（下）	赘婿	连载	[历史军事]	2023-09-15 15:37
我吃西红柿	419万字	第1470章 番茄新书《宇宙职业选手》已经正式发布！	莽荒纪	完结	[武侠仙侠]	2023-08-04 01:04
鹅是老五	702万字	第2280章 新书发布	最强弃少	完结	[武侠仙侠]	2022-05-20 19:47
风云十三变	173万字	第584章 新世界大门已打开	斗罗之辅助升级系统	完结	[其他类型]	2021-10-23 18:18
卖报小郎君	259万字	新书！《大奉打更人》	原来我是妖二代	完结	[都市生活]	2021-10-29 05:20
水千丞	40万字	王晋的故事	针锋对决	完结	[幻想奇缘]	2019-01-02 11:54
搞笑异人	63万字	第266章 结束	斗罗之背着五把剑的辅助	连载	[其他类型]	2022-05-20 21:26
海鶄落	18万字	番外.剩下的一些故事	貔貅饭馆，只进不出	完结	[游戏情缘]	2020-01-18 10:30
钟仅	30万字	第 84 章	重生之拯救大佬计划	完结	[幻想奇缘]	2019-11-24 08:00
木苏里	44万字	年少	某某	完结	[幻想奇缘]	2019-12-27 16:00
一个米饼	9万字	三字已婚与黑粉 	婚后热恋	完结	[幻想奇缘]	2019-11-19 16:49
乱	717万字	第3118章 人间，惹不起了	全职法师	连载	[玄幻奇幻]	2022-04-10 11:39
长亭空省	355万字	请一天假～	仙府长生	连载	[武侠仙侠]	2023-08-28 23:58
思如梦断	47万字	第239章 甜得心疼！	从斗罗开始稳健发育	完结	[其他类型]	2022-05-20 21:21
J神	624万字	第2893章 紫魅公主服软，神秘强大的时空妖灵一族	开局签到荒古圣体	连载	[玄幻奇幻]	2023-11-06 21:11
水千丞	37万字	番外（完）	娘娘腔	完结	[幻想奇缘]	2019-01-02 13:22
优衣库的爱	152万字	第704章新的开始	爱情公寓之道士下山	完结	[其他类型]	2018-12-25 11:12
三百斤的微笑	447万字	新书已发:我的头发能创造妖国	饲养全人类	完结	[都市生活]	2023-08-04 17:04
囧囧有妖	263万字	第2504章 【新书《月亮在怀里》】	恰似寒光遇骄阳	完结	[幻想奇缘]	2023-08-04 16:19
辰东	651万字	我的新书《深空彼岸》上传了	遮天	完结	[武侠仙侠]	2023-08-04 16:47
风凌天下	412万字	第1265章 新书《天域苍穹》登陆起点！希望大家支持！	异世邪君	完结	[玄幻奇幻]	2022-05-20 19:47
红烧豆腐干	290万字	第1276章 完本感言	重生五十年代有空间	完结	[幻想奇缘]	2022-05-20 20:13
月光光	102万字	第435章：难怪天打雷劈（完结）	超神学院之最强王者	完结	[其他类型]	2018-12-25 11:12
孤飞雪	87万字	好看的斗罗同人	斗罗之我千寻疾不能死	完结	[其他类型]	2021-03-30 23:14
神话凡人	23万字	第988章 你们真的是太让我失望了！（求订阅）	西游：我复活了洪荒大能	连载	[玄幻奇幻]	2021-08-15 18:46
辰东	534万字	番外【道外与后院】	深空彼岸	完结	[都市生活]	2023-08-28 23:58
影子鬼	35万字	第1879章黑夜之中	大秦:开局召唤黑影兵团	连载	[其他类型]	2021-08-15 18:46
天官赐福	125万字	第605章 创造历史，徐年宣布退役	绝地求生之未婚妻是团团	完结	[游戏竞技]	2022-05-20 21:33
梦朝南	136万字	第631章 终章	还没出道就火了怎么办	完结	[都市生活]	2020-09-30 11:15
血中的哀伤	560万字	第一百零六章离别	帝临二次元	完结	[其他类型]	2018-12-25 15:29
白芥子	33万字	番外六 一日	江山许你	完结	[现代言情]	2019-11-19 17:49
墨泠	544万字	第2655章 仙本无良（15）	快穿：男神，有点燃！	完结	[科幻灵异]	2021-04-25 16:08
六界三道	945万字	第三千三百六十五章   人间道	仙武帝尊	完结	[玄幻奇幻]	2020-12-24 17:23
可爱的弘	18万字	第六百五十五章 新的目标：星辰大海	开局十万新手礼包	连载	[都市生活]	2021-12-19 23:43
我要飞上宇宙	98万字	第769章 交易的筹码	每周一次随机奖励	完结	[都市生活]	2020-08-13 00:50
冷山就木	11万字	番外四	黑莲花的幸福生活	完结	[幻想奇缘]	2019-11-19 19:02
